,name,address
0,Doota,"275, Jangchungdan-ro, Jung-gu Doosan Tower Bldg., Seoul 04563 South Korea"
1,apm Place,"276 Eulji-ro, Euljiro 7(chil)-ga, Jung-gu, Seoul"
2,Korea University,"145, Anam-ro, Seongbuk-gu, Seoul 02841 South Korea"
3,Bugaksan Seoul Fortress,"Jongno-gu, Seoul South Korea"
4,Korean Postage Stamp Museum,"70, Sogong-ro, Jung-gu B2F Post Tower, Seoul 04535 South Korea"
5,Star Avenue at Lotte World,"40-1 Jamsil-dong, Songpa-gu, Seoul South Korea"
6,Migliore Dongdaemun Shop,"18-185 Euljiro 6-ga, Jung-gu, Seoul South Korea"
7,Lotte Young Plaza Myeongdong,"67, Namdaemun-ro, Jung-gu, Seoul 04532 South Korea"
8,D Museum,"5-6, Dokseodang-ro 29-gil, Yongsan-gu Replace Hannam F, Seoul 04419 South Korea"
9,Yongsan Family Park,"68-87 Yongsan-dong 6-ga, Yongsan-gu, Seoul 140-026 South Korea"
10,Gilsangsa Shrine,"68, Seonjam-ro 5-gil, Seongbuk-gu, Seoul 02839 South Korea"
11,Statue of Gangnam Style,"Youngdongdaero 513 COEX East Gate, Seoul 06087 South Korea"
12,Shinsegae Gangnam,"176, Sinbanpo-ro, Seocho-gu, Seoul 06546 South Korea"
13,Dongdaemun Gate (Heunginjimun),"288, Jong-ro, Jongno-gu, Seoul 03119 South Korea"
14,I-Park Mall,"55, Hangang-daero 23-gil, Yongsan-gu, Seoul 04377 South Korea"
15,National Hangeul Museum,"139, Seoubinggo-ro, Yongsan-gu Between National Museum of Korea and Yongsan Family Park, Seoul 04383 South Korea"
16,Kwanghee Fasion Mall,"777, Sindang 1-dong, Jung-gu 21 Majang-ro-1-gil, Seoul South Korea"
17,Tourist Information Center of Korea Tourism Organization,"40, Cheonggyecheon-ro, Jung-gu Korea Tourism Organization, Seoul 04521 South Korea"
18,Hongik University,"94 Wausan-ro, Mapo-gu, Seoul 04066 South Korea"
19,Seoul Museum of Art,"61 Deoksugung-gil, Jung-gu, Seoul 04515 South Korea"
20,Dream Forest,"173, Wolgye-ro, Gangbuk-gu, Seoul 142-861 South Korea"
21,Jeongdong Observatory,"15, Deoksugung-gil, Jung-gu Seosomun Annex 13F, Seoul 04515 South Korea"
22,The Story of King Sejong & The Story of Admiral Yi Sunshin,"175, Sejong-daero, Jongno-gu, Seoul 03172 South Korea"
23,Seoul National Cemetery,"210 hyeonchung-ro, Dongjak-gu, Seoul South Korea"
24,Seoul Plaza,"Taepyeongno 1-ga Jung-gu, Seoul South Korea"
25,Ttukseom Hangang Park,"56-10, Dongil-ro 4-gil, Gwangjin-gu, Seoul 05084 South Korea"
26,Seven Luck Casino Gangbuk Hilton,"50, Sowol-ro, Jung-gu, Seoul 04637 South Korea"
27,Unhyeongung,"464 Samil-daero, Jongno-gu, Seoul 03131 South Korea"
28,Eungbongsan Mountain,"1540, Kumho-dong 4-ga, Seongdong-gu, Seoul South Korea"
29,Mecenatpolis Mall,"45, Yanghwa-ro, Mapo-gu, Seoul 04036 South Korea"
