,0,1
0,Gyeongbokgung Palace,"(37.5773616, 126.9766844)"
1,Bukhansan National Park,"(37.612085, 127.008251)"
2,Myeongdong Shopping Street,"(37.5640907, 126.9979403)"
3,Changdeokgung Palace,"(37.5800952, 126.9918496)"
4,The War Memorial of Korea,"(37.5362151, 126.9777629)"
5,National Museum of Korea,"(37.5246635, 126.9777271)"
6,Insadong,"(37.5716555, 126.9862326)"
7,Trickeye Museum Seoul,"(37.5534532, 126.9216835)"
8,Lotte World Tower & Mall,"(37.5129907, 127.1027322)"
9,KTX (Korea Train Express),"(37.566535, 126.9779692)"
10,Seoul Metro,"(37.566535, 126.9779692)"
11,Hangang Park,"(37.566535, 126.9779692)"
12,N Seoul Tower,"(37.5509473, 126.9892965)"
13,Namsan Park,"(37.5511694, 126.9882266)"
14,Myeongdong NANTA Theater,"(37.5635611, 126.9836841)"
15,Cheonggyecheon Stream,"(37.566535, 126.9779692)"
16,Jogyesa Temple,"(37.5743716, 126.9826498)"
17,Bongeunsa Temple,"(37.5139716, 127.0500292)"
18,Haneul Park,"(37.5674467, 126.885455)"
19,Bukchon Hanok Village,"(37.5824075, 126.9836531)"
20,Hongik University Street,"(37.5534897, 126.9177304)"
21,Ewha Womans University,"(37.5642551, 126.9503079)"
22,Dongdaemun Design Plaza (DDP),"(37.5667521, 127.0101046)"
23,Starfield Library,"(37.51168500000001, 127.0593394)"
24,Kwangjang Market,"(37.5700398, 126.9996036)"
25,Love Museum,"(37.553478, 126.921645)"
26,Seoul Forest,"(37.54316439999999, 127.0418547)"
27,Yeouido Hangang Park,"(37.5263086, 126.9335824)"
28,Leeum Samsung Museum of Art,"(37.5383951, 126.999265)"
29,Seoul Sky,"(37.5129907, 127.1027322)"
30,Doota,"(37.5691357, 127.0090702)"
31,apm Place,"(37.5652675, 127.0084174)"
32,Korea University,"(37.5900117, 127.0318586)"
33,Bugaksan Seoul Fortress,"(37.5729503, 126.9793579)"
34,Korean Postage Stamp Museum,"(37.5615577, 126.9821367)"
35,Star Avenue at Lotte World,"(37.5112348, 127.0980274)"
36,Migliore Dongdaemun Shop,"(37.568063, 127.0084776)"
37,Lotte Young Plaza Myeongdong,"(37.5634661, 126.9815063)"
38,D Museum,"(37.5370296, 127.011413)"
39,Yongsan Family Park,"(37.5216852, 126.9839703)"
40,Gilsangsa Shrine,"(37.5991321, 126.9942654)"
41,Statue of Gangnam Style,"(37.51168500000001, 127.0593394)"
42,Shinsegae Gangnam,"(37.5041299, 127.0030692)"
43,Dongdaemun Gate (Heunginjimun),"(37.5711295, 127.0096878)"
44,I-Park Mall,"(37.5288539, 126.9640447)"
45,National Hangeul Museum,"(37.5238506, 126.9804702)"
46,Kwanghee Fasion Mall,"(37.5686956, 127.0118125)"
47,Tourist Information Center of Korea Tourism Organization,"(37.5684894, 126.9816134)"
48,Hongik University,"(37.55097689999999, 126.9257006)"
49,Seoul Museum of Art,"(37.5642629, 126.9746757)"
50,Dream Forest,"(37.6214313, 127.0406246)"
51,Jeongdong Observatory,"(37.5642629, 126.9746757)"
52,The Story of King Sejong & The Story of Admiral Yi Sunshin,"(37.5721241, 126.9760848)"
53,Seoul National Cemetery,"(37.4996897, 126.9785099)"
54,Seoul Plaza,"(37.5679872, 126.9771635)"
55,Ttukseom Hangang Park,"(37.5353233, 127.0641888)"
56,Seven Luck Casino Gangbuk Hilton,"(37.5554538, 126.9754336)"
57,Unhyeongung,"(37.5761402, 126.9869738)"
58,Eungbongsan Mountain,"(37.5633415, 127.0371025)"
