,name,big sortig,small sorting,address
0,GOTO Mall,Shopping,Shopping Malls,
1,National Museum of Modern and Contemporary Art Seoul,Museums,Art Museums,"30, Samcheong-ro, Jongno-gu, Seoul 03062 South Korea"
2,Seokchon Lake,Nature & Parks,Bodies of Water,
3,National Palace Museum of Korea,Museums,Specialty Museums,
4,Hongdae Art Market Free Market,Shopping,Flea & Street Markets,"19-3, Wausan-ro 21-gil, Mapo-gu, Seoul 04041 South Korea"
5,Poopoo Land,Museums,Specialty Museums,
6,Jungbu Market,Shopping,Flea & Street Markets,
7,Seoullo 7017,Nature & Parks,Sights & Landmarks,
8,Seoul World Cup Stadium,Sights & Landmarks,Arenas & Stadiums,
9,Seoul City Hall,Sights & Landmarks,Government Buildings,
10,Seolleung & Jeongneung Royal Tomb,Sights & Landmarks,Historic Sites,
11,Gwanghwamun Square,Sights & Landmarks,Points of Interest & Landmarks,
12,Times Square Mall,Shopping,Shopping Malls,"Seoul-si Yeongdeungpo-gu Yeongdeungpodong4-ga 441-10, Seoul South Korea"
13,Lotte Department Store Main,Shopping,Department Stores,"81, Namdaemun-ro, Jung-gu, Seoul 04533 South Korea"
14,Seoul Central Mosque,Sights & Landmarks,Sacred & Religious Sites,
15,Samcheonggak,Sights & Landmarks,Points of Interest & Landmarks,"3, Daesagwan-ro, Seongbuk-gu, Seoul 02822 South Korea"
16,63 City,Sights & Landmarks,Architectural Buildings,
17,Dongdaemun History & Culture Park,Nature & Parks,,
18,Stylenanda Pink Hotel Flagship Store,Shopping,Shopping Malls,
19,COEX Center,Traveler Resources,Conference & Convention Centers,"159 Samseong 1-dong, Gangnam-gu, Seoul South Korea"
20,Alive Museum Insadong,Museums,Specialty Museums,"12, Insadong-gil, Jongno-gu Daeil Bldg. B1F & B2F, Seoul 03163 South Korea"
21,Seoul International Fireworks Festival,Events,Seasonal Fireworks,"330 Yeouidong-ro,Yeongdeungpo-gu Yeouido Hangang Park, Seoul 07337 South Korea"
22,Ihwa Mural Village,Sights & Landmarks,Neighborhoods,
23,Sinchon,Sights & Landmarks,Neighborhoods,
24,Dongdaemun Shopping Complex,Shopping,Shopping Malls,"289-3 Jongno 6-ga, Jongno-gu, Seoul South Korea"
25,Statue of Sejong the Great,Sights & Landmarks,Monuments & Statues,
26,Arario Museum in Space,Museums,Art Museums,"83, Yulgok-ro, Jongno-gu, Seoul 03058 South Korea"
27,Seoul Arts Center,Museums,Art Museums,
28,Noryangjin Fisheries Wholesale Market,Shopping,Flea & Street Markets,
29,Gocheok Sky Dome,Sights & Landmarks,Arenas & Stadiums,
